32.031,-15.975,-12.648,14,2.7031,6,2.7031,0.363484984292429,0.00032562358276644
30.895,-30.543,-29.847,15,2.5697,6,2.5697,0.368357976553999,0.00032562358276644
29.438,-23.641,-47.635,18,0.88431,7,3.9556,0.497506453259315,0.000184292146073036
-3.2887,-9.9623,18.05,1,3.1691,1,3.1691,0.340646948428687,8.25482625482625e-05
-9.208,-31.231,-12.183,5,1.6916,2,1.6916,0.397683096315103,3.17557251908397e-05
-10.347,-22.488,-45.552,7,1.4638,3,1.4638,0.327641528203036,6.66010821446139e-05
-10.513,-16.66,-37.912,7,1.9488,3,1.9488,0.273791968367521,6.66010821446139e-05
-21.086,-29.344,-35.987,7,1.2138,3,10.06,0.36182901335301,6.66010821446139e-05
20.423,-18.397,12.251,13,5.9576,5,5.9576,0.263311470825116,0.000192729591836735
20.393,-23.821,5.3236,13,9.4031,5,9.4031,0.470682945540863,0.000192729591836735
40.74,-15.695,-21.389,14,0.53481,6,4.7461,0.164896939494047,0.00032562358276644
34.045,-24.378,-14.149,14,4.5364,6,4.5364,0.30857031269559,0.00032562358276644
33.347,-28.264,-24.201,15,4.4455,6,4.4455,0.444010572369073,0.00032562358276644
36.28,-21.877,-36.124,15,4.3579,6,4.3579,0.26516527024361,0.00032562358276644
37.81,-16.363,-35.062,15,1.5982,6,1.5982,0.278129142443247,0.00032562358276644
-16.667,-25.035,16.616,1,1.4515,1,7.9575,0.347892886805914,8.25482625482625e-05
-14.708,-27.872,17.415,1,1.5361,1,7.7467,0.481544214489169,8.25482625482625e-05
1.5006,-13.944,22.259,1,0.89568,1,0.89568,0.200762279728444,8.25482625482625e-05
-4.5947,-6.5062,19.675,1,1.2069,1,1.2069,0.498625334140506,8.25482625482625e-05
-12.778,-32.946,1.2921,3,2.4277,1,2.4277,0.493665978416755,8.25482625482625e-05
-7.9892,-33.837,4.2505,3,2.3988,1,2.3988,0.377040832556845,8.25482625482625e-05
-7.202,-29.769,9.6614,3,1.1108,1,1.1108,0.322516631570337,8.25482625482625e-05
-9.8739,-26.19,13.137,3,0.78536,1,2.9227,0.481527932820982,8.25482625482625e-05
-36.478,1.2142,-23.143,6,0.53257,2,0.53257,0.466150555423496,3.17557251908397e-05
-4.8238,-24.065,-42.403,11,0.23804,4,0.23804,0.446414435923677,0.000142857142857143
-19.024,-36.341,-12.513,4,0.84837,2,8.1576,0.156896079690363,3.17557251908397e-05
-16.064,-28.188,-12.521,4,2.8223,2,5.1983,0.0717915892626848,3.17557251908397e-05
-20.49,-44.888,-17.901,5,0.96404,2,7.2796,0.239337886399987,3.17557251908397e-05
-19.738,-41.027,-23.495,5,1.1629,2,3.7424,0.192794956880818,3.17557251908397e-05
-16.545,-41.349,-25.078,5,1.0109,2,3.1706,0.38420610577597,3.17557251908397e-05
-17.346,-43.396,-25.211,5,0.22477,2,3.6078,0.471711648823496,3.17557251908397e-05
-10.266,-30.484,-41.043,7,0.41528,3,0.41528,0.484663033425426,6.66010821446139e-05
-9.6631,-20.309,-32.292,7,1.0027,3,1.0027,0.0543879941860551,6.66010821446139e-05
-21.777,-27.226,-31.663,7,0.65806,3,6.6336,0.439984183863526,6.66010821446139e-05
-23.851,-30.421,-39.799,7,3.9041,3,9.3254,0.400128089176528,6.66010821446139e-05
-26.692,-44.149,-55.778,8,2.2327,3,2.2327,0.445721733896009,6.66010821446139e-05
-20.891,-36.409,-51.926,8,2.3081,3,2.3081,0.163700615407747,6.66010821446139e-05
-19.189,-37.348,-48.095,8,0.9073,3,0.9073,0.382022088181768,6.66010821446139e-05
-13.389,-42.828,-44.041,8,2.4901,3,2.4901,0.489984170490759,6.66010821446139e-05
-45.062,-20.381,-46.582,9,1.0912,3,1.0912,0.293315339119999,6.66010821446139e-05
-44.758,-13.799,-53.292,9,0.40746,3,0.40746,0.357423354664975,6.66010821446139e-05
-32.163,-3.8337,-59.533,9,0.26113,3,9.8178,0.464543013952463,6.66010821446139e-05
-36.01,-0.68478,-62.134,10,0.35821,3,5.7389,0.499537731857189,6.66010821446139e-05
-14.517,-3.8159,-68.302,10,2.7208,3,2.7208,0.459350415625812,6.66010821446139e-05
-19.566,-5.1932,-68.356,10,1.8968,3,1.8968,0.177661371731934,6.66010821446139e-05
-23.206,-2.4366,-74.771,10,1.5475,3,1.5475,0.485268067651624,6.66010821446139e-05
32.936,-9.309,16.46,12,1.2999,5,4.6237,0.492680711968032,0.000192729591836735
35.642,-5.2299,6.8713,12,1.3108,5,4.5534,0.353794639844471,0.000192729591836735
13.339,-0.89409,18.424,12,0.45776,5,0.45776,0.437646137982607,0.000192729591836735
12.99,-1.5916,17.803,12,1.0338,5,1.0338,0.40523092999793,0.000192729591836735
12.835,-5.2317,20.207,12,1.2114,5,1.2114,0.407943748414728,0.000192729591836735
32.575,12.582,-15.399,16,0.70114,7,0.70114,0.476255705136269,0.000184292146073036
37.932,9.1987,-28.982,16,0.65631,7,0.65631,0.38668798486656,0.000184292146073036
42.86,-13.68,-21.789,14,1.1582,6,3.6227,0.428658905510422,0.00032562358276644
43.998,-9.1723,-14.465,14,1.0518,6,1.0518,0.48432819716928,0.00032562358276644
34.655,-15.96,-7.7796,14,0.9274,6,0.9274,0.158471803945644,0.00032562358276644
36.822,-30.055,-24.43,15,1.701,6,1.701,0.105553774688129,0.00032562358276644
22.593,-23.271,-37.128,17,0.26402,7,0.26402,0.426599895552125,0.000184292146073036
16.23,-18.193,-42.168,17,0.38131,7,0.38131,0.444760166602007,0.000184292146073036
18.263,-21.674,-43.69,17,0.66853,7,0.66853,0.261840763367736,0.000184292146073036
11.028,-14.622,-46.894,17,0.36699,7,0.36699,0.343596148361753,0.000184292146073036
13.573,-15.519,-43.164,17,0.096742,7,0.096742,0.444033276333781,0.000184292146073036
8.0358,-7.7648,-43.978,17,0.38462,7,0.38462,0.363018828552703,0.000184292146073036
42.661,-21.7,-50.718,18,4.5851,7,8.3766,0.446383157835056,0.000184292146073036
40.29,-16.864,-45.337,18,4.1679,7,9.4647,0.228555730272077,0.000184292146073036
26.333,-26.889,-40.928,18,0.50634,7,0.50634,0.413024177139815,0.000184292146073036
27.01,-27.024,-44.117,18,0.36128,7,0.56964,0.267647505915106,0.000184292146073036
32.618,-26.55,-52.635,18,1.1346,7,1.7829,0.281061036247947,0.000184292146073036
