0.054868, 1.911424, 1.421580, 1.191295, 1.676649, 3.642942, 4.344393
0.068178, 1.689553, 1.371184, 0.972902, 1.531402, 3.289133, 3.943665
0.086250, 1.497900, 1.342985, 0.793664, 1.417711, 3.001861, 3.640610
0.115804, 1.349551, 1.348460, 0.661701, 1.324757, 2.790112, 3.450723
0.161419, 1.173876, 1.292969, 0.564294, 1.185179, 2.520474, 3.203862
0.221585, 0.987359, 1.241075, 0.481088, 1.105258, 2.314202, 3.049006
0.284781, 0.573217, 1.098210, 0.260365, 0.997394, 1.855392, 2.640750
0.371628, 0.333291, 1.018200, 0.212225, 0.913497, 1.618417, 2.515550
0.417074, 0.222444, 0.968008, 0.269602, 0.831358, 1.470876, 2.486043
0.526912, 0.142849, 0.949628, 0.422400, 0.759972, 1.429732, 2.658911
0.614626, 0.103209, 0.921138, 0.616759, 0.734118, 1.451953, 2.886641
0.695613, 0.076600, 0.905708, 0.870219, 0.691680, 1.463893, 3.163220
0.768153, 0.084711, 0.879610, 1.131354, 0.656285, 1.509148, 3.435401
0.822657, 0.103207, 0.847860, 1.456273, 0.654326, 1.580190, 3.781116
0.914685, 0.129732, 0.837682, 1.789142, 0.664794, 1.709211, 4.206303
1.025992, 0.190609, 0.837981, 2.203426, 0.682706, 1.899306, 4.750104
1.081981, 0.250261, 0.794840, 2.572699, 0.727301, 2.059544, 5.176821
1.216243, 0.345817, 0.786999, 3.133511, 0.776047, 2.338107, 5.912800
1.316720, 0.442735, 0.777544, 3.627166, 0.846205, 2.605660, 6.567636
1.365642, 0.524910, 0.750228, 4.083077, 0.882588, 2.773141, 7.081535
0.356932, 0.747350, 1.225225, 0.966529, 0.771533, 1.875815, 3.320219
0.359074, 0.728072, 1.203296, 0.976666, 0.777346, 1.864492, 3.316382
0.399893, 0.713102, 1.195623, 1.008754, 0.769965, 1.882960, 3.374234
0.379103, 0.708028, 1.175934, 0.975839, 0.765035, 1.852166, 3.295911
0.407768, 0.705507, 1.181398, 0.983472, 0.757768, 1.871043, 3.330406
0.400730, 0.692552, 1.178455, 0.927947, 0.758697, 1.851979, 3.265829
0.435434, 0.455465, 1.097966, 0.773587, 0.754328, 1.645228, 3.061316
0.409613, 0.255969, 0.998885, 0.583898, 0.744302, 1.409884, 2.736698
0.502631, 0.160957, 0.920660, 0.550378, 0.736798, 1.400386, 2.710468
0.561903, 0.123535, 0.923014, 0.511360, 0.766054, 1.451492, 2.762332
0.552687, 0.110945, 0.930077, 0.457341, 0.744667, 1.408298, 2.684772
0.594490, 0.093622, 0.924483, 0.472568, 0.737131, 1.425242, 2.728672
0.651716, 0.093922, 0.923313, 0.418297, 0.737798, 1.483436, 2.731123
0.687891, 0.091622, 0.915237, 0.376921, 0.735759, 1.515272, 2.715809
0.739384, 0.088179, 0.925766, 0.376103, 0.723870, 1.551432, 2.765122
0.886195, 0.086592, 0.935049, 0.382106, 0.703832, 1.676618, 2.907181
