0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.018500, 0.014700, 0.019200, 0.018900, 0.018200, 0.017900, 0.020500, 0.017800, 0.018500, 0.017100, 0.016400, 0.018200, 0.019000, 0.018300, 0.017700, 0.016400, 0.017900, 0.017800, 0.017400, 0.014600
6.201600, 6.210300, 6.258900, 6.224200, 6.226100, 6.173700, 6.109500, 6.059600, 6.059400, 6.038400, 6.021000, 5.989700, 5.946400, 5.901000, 5.900900, 5.904400, 5.881000, 5.878500, 5.824800, 5.834300
6.701100, 6.691300, 6.740800, 6.729300, 6.721800, 6.660000, 6.617900, 6.575300, 6.565400, 6.557400, 6.503500, 6.489700, 6.453400, 6.421100, 6.427900, 6.427100, 6.389700, 6.399700, 6.347700, 6.376000
6.661100, 6.656000, 6.710900, 6.693400, 6.678700, 6.615900, 6.583400, 6.538100, 6.539800, 6.522900, 6.478200, 6.460400, 6.436500, 6.401500, 6.413200, 6.405300, 6.377800, 6.379700, 6.332900, 6.361500
6.652500, 6.646100, 6.702500, 6.683900, 6.667500, 6.607800, 6.577600, 6.530900, 6.533100, 6.513600, 6.469800, 6.451500, 6.430400, 6.392700, 6.408300, 6.398300, 6.374800, 6.373300, 6.322200, 6.355800
6.655200, 6.648500, 6.706600, 6.686700, 6.670600, 6.610500, 6.581400, 6.533500, 6.535200, 6.516700, 6.474000, 6.454100, 6.434900, 6.396400, 6.411400, 6.402100, 6.378300, 6.377900, 6.326500, 6.360700
6.655400, 6.648700, 6.706200, 6.686200, 6.670600, 6.610400, 6.581200, 6.533900, 6.534900, 6.517000, 6.473700, 6.454200, 6.435100, 6.396700, 6.411800, 6.402200, 6.377900, 6.377900, 6.326700, 6.360800
6.657100, 6.649500, 6.707500, 6.687900, 6.672200, 6.611100, 6.582600, 6.535400, 6.535700, 6.518400, 6.475900, 6.455500, 6.436300, 6.398100, 6.412600, 6.403400, 6.379200, 6.378900, 6.327600, 6.363200
6.687500, 6.677800, 6.735000, 6.719000, 6.703400, 6.637400, 6.610800, 6.565300, 6.567800, 6.547100, 6.507100, 6.479700, 6.464100, 6.426000, 6.442300, 6.430300, 6.406000, 6.405300, 6.355600, 6.391500
6.797500, 6.784700, 6.844400, 6.824400, 6.816600, 6.746700, 6.716800, 6.672000, 6.676600, 6.659200, 6.612100, 6.590000, 6.570900, 6.534500, 6.552400, 6.535000, 6.513100, 6.514900, 6.464900, 6.503500
7.025500, 7.025100, 7.073200, 7.063900, 7.055800, 6.989600, 6.949200, 6.909900, 6.914900, 6.899400, 6.855100, 6.830300, 6.813700, 6.770700, 6.791900, 6.766200, 6.750500, 6.752900, 6.710400, 6.737300
7.450900, 7.449200, 7.480200, 7.485800, 7.487100, 7.415500, 7.370200, 7.335600, 7.344200, 7.340200, 7.278700, 7.257300, 7.262500, 7.208100, 7.232000, 7.208900, 7.188600, 7.190900, 7.141600, 7.178900
8.083000, 8.099100, 8.122400, 8.128700, 8.121900, 8.044400, 8.023800, 7.963700, 7.997300, 7.980000, 7.904600, 7.924100, 7.895200, 7.841500, 7.856200, 7.845300, 7.821800, 7.828200, 7.787800, 7.804100
8.821100, 8.815300, 8.847700, 8.857800, 8.838600, 8.756800, 8.732900, 8.669200, 8.717800, 8.698500, 8.622500, 8.633000, 8.598300, 8.557700, 8.570200, 8.560800, 8.540600, 8.545200, 8.494600, 8.525200
