19.162446, 3.043167, 3.193400, 11.730948, 10.652579, 32.858192, 44.739374
2.860929, 2.074812, 0.356304, 4.834018, 8.106917, 13.042657, 16.158167
3.063682, 1.946931, 0.482262, 3.215548, 5.684839, 10.695451, 12.446330
3.015383, 1.944175, 0.494009, 3.147989, 5.553829, 10.513387, 12.211210
2.964168, 1.865904, 0.474434, 3.059670, 5.541961, 10.372033, 12.040234
2.968912, 1.763056, 0.437352, 2.999928, 5.552022, 10.283990, 11.958214
2.597387, 1.447634, 0.365504, 2.638349, 5.529813, 9.574834, 11.131054
1.883988, 1.138476, 0.340799, 1.978055, 5.417565, 8.440029, 9.620407
0.904503, 0.827729, 0.354664, 1.110633, 4.840108, 6.572341, 7.209909
0.341195, 0.609315, 0.418150, 0.506583, 3.898207, 4.848716, 5.164134
0.154867, 0.509110, 0.514926, 0.255849, 3.003766, 3.667743, 3.929407
0.098838, 0.457964, 0.599906, 0.157275, 2.413545, 2.970346, 3.269564
0.038462, 0.389733, 0.652224, 0.097119, 2.014571, 2.442766, 2.802376
0.026260, 0.324767, 0.673402, 0.063225, 1.755216, 2.106243, 2.518102
0.033352, 0.237542, 0.691128, 0.053207, 1.584231, 1.855125, 2.361918
0.102891, 0.161183, 0.708150, 0.091124, 1.360237, 1.624311, 2.262402
0.226834, 0.115249, 0.800532, 0.198422, 1.115202, 1.457285, 2.340990
0.447640, 0.106314, 0.880123, 0.378921, 0.854157, 1.408110, 2.560841
0.661960, 0.172033, 1.013334, 0.654843, 0.662007, 1.496000, 2.992144
0.831455, 0.672338, 1.348917, 1.116679, 0.558233, 2.062026, 3.855284
