%eval_id interface v0             fvimm          r0             b              nata           tc             n0             ERROR_TOT      
1        NO_ID      0.95           0.55           6.5            0.1025         0.175          29.5           22             18.284639      
2        NO_ID      1.45           0.55           6.5            0.1025         0.175          29.5           22             41.006179      
3        NO_ID      0.45           0.55           6.5            0.1025         0.175          29.5           22             13.128227      
4        NO_ID      0.45           0.85           6.5            0.1025         0.175          29.5           22             10.414428      
5        NO_ID      0.45           0.25           6.5            0.1025         0.175          29.5           22             9.749222       
6        NO_ID      0.45           0.25           10.16666667    0.1025         0.175          29.5           22             11.614854      
7        NO_ID      0.45           0.25           2.833333333    0.1025         0.175          29.5           22             12.159191      
8        NO_ID      0.95           0.55           6.5            0.1675         0.175          29.5           22             9.384931       
9        NO_ID      0.95           0.55           6.5            0.0375         0.175          29.5           22             165.043916     
10       NO_ID      0.95           0.55           6.5            0.1675         0.225          29.5           22             12.719524      
11       NO_ID      0.95           0.55           6.5            0.1675         0.125          29.5           22             9.502371       
12       NO_ID      1.45           0.55           6.5            0.1025         0.175          39.83333333    22             54.262048      
13       NO_ID      1.45           0.55           6.5            0.1025         0.175          19.16666667    22             28.93428       
14       NO_ID      0.45           0.25           6.5            0.1025         0.175          29.5           26             8.296534       
15       NO_ID      0.45           0.25           6.5            0.1025         0.175          29.5           18             12.614748      
16       NO_ID      1.616666667    0.55           6.5            0.1025         0.175          19.16666667    22             38.619377      
17       NO_ID      1.283333333    0.55           6.5            0.1025         0.175          19.16666667    22             23.662427      
18       NO_ID      0.45           0.25           6.5            0.1675         0.175          29.5           26             9.464725       
19       NO_ID      0.45           0.25           6.5            0.0375         0.175          29.5           26             6.740942       
20       NO_ID      0.45           0.25           10.16666667    0.1025         0.225          29.5           22             11.645047      
21       NO_ID      0.45           0.25           10.16666667    0.1025         0.125          29.5           22             12.030549      
22       NO_ID      1.283333333    0.85           6.5            0.1025         0.175          19.16666667    22             61.567693      
23       NO_ID      1.283333333    0.25           6.5            0.1025         0.175          19.16666667    22             6.209517       
